acronym,color_hex_triplet,graph_order,id,name,parent_structure_id,ontology_prefix
A44op6,#C2A335,774,DHBA:266441185,layer VI of area 44op,DHBA:266441161,DHBA
A45,#C2A335,775,DHBA:10187,rostral portion of VFC (area 45),DHBA:10185,DHBA
A45r,#C2A335,776,DHBA:10188,rostral subdivision of A45,DHBA:10187,DHBA
A45r1,#F2E5BB,777,DHBA:10883,layer I of area 45r,DHBA:10188,DHBA
A45r2,#C2A335,778,DHBA:10884,layer II of area 45r,DHBA:10188,DHBA
A45r3,#D4B235,779,DHBA:10885,layer III of area 45r,DHBA:10188,DHBA
A45r4,#C2A335,780,DHBA:10886,layer IV of area 45r,DHBA:10188,DHBA
A45r5,#D4B235,781,DHBA:10887,layer V of area 45r,DHBA:10188,DHBA
A45r6,#C2A335,782,DHBA:10888,layer VI of area 45r,DHBA:10188,DHBA
A45c,#C2A335,783,DHBA:10189,caudal subdivision of A45,DHBA:10187,DHBA
A45c1,#F2E5BB,784,DHBA:10889,layer I of area 45c,DHBA:10189,DHBA
A45c2,#C2A335,785,DHBA:10890,layer II of area 45c,DHBA:10189,DHBA
A45c3,#D4B235,786,DHBA:10891,layer III of area 45c,DHBA:10189,DHBA
A45c4,#C2A335,787,DHBA:10892,layer IV of area 45c,DHBA:10189,DHBA
A45c5,#D4B235,788,DHBA:10893,layer V of area 45c,DHBA:10189,DHBA
A45c6,#C2A335,789,DHBA:10894,layer VI of area 45c,DHBA:10189,DHBA
A45op,#C2A335,790,DHBA:266441189,opercular subdivision of A45,DHBA:10187,DHBA
A45op1,#F2E5BB,791,DHBA:266441193,layer I of area 45op,DHBA:266441189,DHBA
A45op2,#C2A335,792,DHBA:266441197,layer II of area 45op,DHBA:266441189,DHBA
A45op3,#D4B235,793,DHBA:266441201,layer III of area 45op,DHBA:266441189,DHBA
A45op4,#C2A335,794,DHBA:266441205,layer IV of area 45op,DHBA:266441189,DHBA
A45op5,#D4B235,795,DHBA:266441209,layer V of area 45op,DHBA:266441189,DHBA
A45op6,#C2A335,796,DHBA:266441213,layer VI of area 45op,DHBA:266441189,DHBA
OFC,#E2D4A7,797,DHBA:10194,orbital frontal cortex,DHBA:10161,DHBA
OFCm,#B8A26D,798,DHBA:10195,medial orbital frontal cortex (area 14),DHBA:10194,DHBA
A14r,#B8A26D,799,DHBA:10196,rostral subdivision of area 14,DHBA:10195,DHBA
A14r1,#EAF2B5,800,DHBA:10738,layer I of area 14r,DHBA:10196,DHBA
A14r2,#B8A26D,801,DHBA:10739,layer II of area 14r,DHBA:10196,DHBA
A14r3,#C3AE7D,802,DHBA:10740,layer III of area 14r,DHBA:10196,DHBA
A14r4,#B8A26D,803,DHBA:10741,layer IV of area 14r,DHBA:10196,DHBA
A14r5,#C3AE7D,804,DHBA:10742,layer V of area 14r,DHBA:10196,DHBA
A14r6,#B8A26D,805,DHBA:10743,layer VI of area 14r,DHBA:10196,DHBA
A14c,#B8A26D,806,DHBA:10197,caudal subdivision of area 14,DHBA:10195,DHBA
A14c1,#EAF2B5,807,DHBA:10744,layer I of area 14c,DHBA:10197,DHBA
A14c2,#B8A26D,808,DHBA:10745,layer II of area 14c,DHBA:10197,DHBA
A14c3,#C3AE7D,809,DHBA:10746,layer III of area 14c,DHBA:10197,DHBA
A14c4,#B8A26D,810,DHBA:10747,layer IV of area 14c,DHBA:10197,DHBA
A14c5,#C3AE7D,811,DHBA:10748,layer V of area 14c,DHBA:10197,DHBA
A14c6,#B8A26D,812,DHBA:10749,layer VI of area 14c,DHBA:10197,DHBA
OFCi,#CAB781,813,DHBA:10198,intermediate orbital frontal cortex,DHBA:10194,DHBA
A11,#CAB781,814,DHBA:10199,rostral division of OFCi (area 11),DHBA:10198,DHBA
A11m,#CAB781,815,DHBA:10200,medial subdivision of area 11,DHBA:10199,DHBA
A11m1,#EAF2B5,816,DHBA:10750,layer I of area 11m,DHBA:10200,DHBA
A11m2,#CAB781,817,DHBA:10751,layer II of area 11m,DHBA:10200,DHBA
A11m3,#D1BF8C,818,DHBA:10752,layer III of area 11m,DHBA:10200,DHBA
A11m4,#CAB781,819,DHBA:10753,layer IV of area 11m,DHBA:10200,DHBA
A11m5,#D1BF8C,820,DHBA:10754,layer V of area 11m,DHBA:10200,DHBA
A11m6,#CAB781,821,DHBA:10755,layer VI of area 11m,DHBA:10200,DHBA
A11l,#CAB781,822,DHBA:10201,lateral subdivision of area 11,DHBA:10199,DHBA
A11l1,#EAF2B5,823,DHBA:10756,layer I of area 11l,DHBA:10201,DHBA
A11l2,#CAB781,824,DHBA:10757,layer II of area 11l,DHBA:10201,DHBA
A11l3,#D1BF8C,825,DHBA:10758,layer III of area 11l,DHBA:10201,DHBA
A11l4,#CAB781,826,DHBA:10759,layer IV of area 11l,DHBA:10201,DHBA
A11l5,#D1BF8C,827,DHBA:10760,layer V of area 11l,DHBA:10201,DHBA
A11l6,#CAB781,828,DHBA:10761,layer VI of area 11l,DHBA:10201,DHBA
A13,#CAB781,829,DHBA:10202,caudal division of OFCi (area 13),DHBA:10198,DHBA
A13m,#CAB781,830,DHBA:10203,medial subdivision of area 13,DHBA:10202,DHBA
A13m1,#EAF2B5,831,DHBA:10762,layer I of area 13m,DHBA:10203,DHBA
A13m2,#CAB781,832,DHBA:10763,layer II of area 13m,DHBA:10203,DHBA
A13m3,#D1BF8C,833,DHBA:10764,layer III of area 13m,DHBA:10203,DHBA
A13m4,#CAB781,834,DHBA:10765,layer IV of area 13m,DHBA:10203,DHBA
A13m5,#D1BF8C,835,DHBA:10766,layer V of area 13m,DHBA:10203,DHBA
A13m6,#CAB781,836,DHBA:10767,layer VI of area 13m,DHBA:10203,DHBA
A13l,#CAB781,837,DHBA:10204,lateral subdivision of area 13,DHBA:10202,DHBA
A13l1,#EAF2B5,838,DHBA:10768,layer I of area 13l,DHBA:10204,DHBA
A13l2,#CAB781,839,DHBA:10769,layer II of area 13l,DHBA:10204,DHBA
A13l3,#D1BF8C,840,DHBA:10770,layer III of area 13l,DHBA:10204,DHBA
A13l4,#CAB781,841,DHBA:10771,layer IV of area 13l,DHBA:10204,DHBA
A13l5,#D1BF8C,842,DHBA:10772,layer V of area 13l,DHBA:10204,DHBA
A13l6,#CAB781,843,DHBA:10773,layer VI of area 13l,DHBA:10204,DHBA
OFCl,#AB9158,844,DHBA:10205,lateral orbital frontal cortex (area 12/47),DHBA:10194,DHBA
A12/47m,#AB9158,845,DHBA:10206,medial subdivision of area 12/47,DHBA:10205,DHBA
A12/47m1,#EAF2B5,846,DHBA:10774,layer I of area 12/47m,DHBA:10206,DHBA
A12/47m2,#AB9158,847,DHBA:10775,layer II of area 12/47m,DHBA:10206,DHBA
A12/47m3,#B29A60,848,DHBA:10776,layer III of area 12/47m,DHBA:10206,DHBA
A12/47m4,#AB9158,849,DHBA:10777,layer IV of area 12/47m,DHBA:10206,DHBA
A12/47m5,#B29A60,850,DHBA:10778,layer V of area 12/47m,DHBA:10206,DHBA
A12/47m6,#AB9158,851,DHBA:10779,layer VI of area 12/47m,DHBA:10206,DHBA
A12/47l,#AB9158,852,DHBA:10207,lateral subdivision of area 12/47,DHBA:10205,DHBA
A12/47l1,#EAF2B5,853,DHBA:10780,layer I of area 12/47l,DHBA:10207,DHBA
A12/47l2,#AB9158,854,DHBA:10781,layer II of area 12/47l,DHBA:10207,DHBA
A12/47l3,#B29A60,855,DHBA:10782,layer III of area 12/47l,DHBA:10207,DHBA
A12/47l4,#AB9158,856,DHBA:10783,layer IV of area 12/47l,DHBA:10207,DHBA
A12/47l5,#B29A60,857,DHBA:10784,layer V of area 12/47l,DHBA:10207,DHBA
A12/47l6,#AB9158,858,DHBA:10785,layer VI of area 12/47l,DHBA:10207,DHBA
PoFC,#FCE691,859,DHBA:10162,posterior frontal cortex (motor cortex),DHBA:10161,DHBA
M1C,#EDCF37,860,DHBA:10163,"primary motor cortex (area M1, area 4)",DHBA:10162,DHBA
M1hf,#EDCF37,861,DHBA:10164,head and face region of M1,DHBA:10163,DHBA
M1hf1,#FBE89D,862,DHBA:10786,layer I of area M1hf,DHBA:10164,DHBA
M1hf2,#EDCF37,863,DHBA:10787,layer II of area M1hf,DHBA:10164,DHBA
M1hf3,#FDD92E,864,DHBA:10788,layer III of area M1hf,DHBA:10164,DHBA
M1hf5,#FDD92E,865,DHBA:10789,layer V of area M1hf,DHBA:10164,DHBA
M1hf6,#EDCF37,866,DHBA:10790,layer VI of area M1hf,DHBA:10164,DHBA
M1ul,#EDCF37,867,DHBA:10165,upper limb region of M1,DHBA:10163,DHBA
M1ul1,#FBE89D,868,DHBA:10791,layer I of area M1ul,DHBA:10165,DHBA
M1ul2,#EDCF37,869,DHBA:10792,layer II of area M1ul,DHBA:10165,DHBA
M1ul3,#FDD92E,870,DHBA:10793,layer III of area M1ul,DHBA:10165,DHBA
M1ul5,#FDD92E,871,DHBA:10794,layer V of area M1ul,DHBA:10165,DHBA
M1ul6,#EDCF37,872,DHBA:10795,layer VI of area M1ul,DHBA:10165,DHBA
M1tr,#EDCF37,873,DHBA:10166,trunk region of M1,DHBA:10163,DHBA
M1tr1,#FBE89D,874,DHBA:10796,layer I of area M1tr,DHBA:10166,DHBA
M1tr2,#EDCF37,875,DHBA:10797,layer II of area M1tr,DHBA:10166,DHBA
M1tr3,#FDD92E,876,DHBA:10798,layer III of area M1tr,DHBA:10166,DHBA
M1tr5,#FDD92E,877,DHBA:10799,layer V of area M1tr,DHBA:10166,DHBA
M1tr6,#EDCF37,878,DHBA:10800,layer VI of area M1tr,DHBA:10166,DHBA
M1lm,#EDCF37,879,DHBA:10167,lower limb region of M1,DHBA:10163,DHBA
M1lm1,#FBE89D,880,DHBA:10801,layer I of area M1lm,DHBA:10167,DHBA
M1lm2,#EDCF37,881,DHBA:10802,layer II of area M1lm,DHBA:10167,DHBA
M1lm3,#FDD92E,882,DHBA:10803,layer III of area M1lm,DHBA:10167,DHBA
M1lm5,#FDD92E,883,DHBA:10804,layer V of area M1lm,DHBA:10167,DHBA
M1lm6,#EDCF37,884,DHBA:10805,layer VI of area M1lm,DHBA:10167,DHBA
PMC,#FDD92E,885,DHBA:10168,premotor cortex (area 6),DHBA:10162,DHBA
A6ld,#FDD92E,886,DHBA:10169,laterodorsal subdivision of area 6,DHBA:10168,DHBA
A6ld1,#FBE89D,887,DHBA:10806,layer I of area 6ld,DHBA:10169,DHBA
A6ld2,#FDD92E,888,DHBA:10807,layer II of area 6ld,DHBA:10169,DHBA
A6ld3,#FFE168,889,DHBA:10808,layer III of area 6ld,DHBA:10169,DHBA
A6ld5,#FFE168,890,DHBA:10809,layer V of area 6ld,DHBA:10169,DHBA
A6ld6,#FDD92E,891,DHBA:10810,layer VI of area 6ld,DHBA:10169,DHBA
A6lv,#FDD92E,892,DHBA:10170,lateroventral subdivision of area 6,DHBA:10168,DHBA
A6lv1,#FBE89D,893,DHBA:10811,layer I of area 6lv,DHBA:10170,DHBA
A6lv2,#FDD92E,894,DHBA:10812,layer II of area 6lv,DHBA:10170,DHBA
A6lv3,#FFE168,895,DHBA:10813,layer III of area 6lv,DHBA:10170,DHBA
A6lv5,#FFE168,896,DHBA:10814,layer V of area 6lv,DHBA:10170,DHBA
A6lv6,#FDD92E,897,DHBA:10815,layer VI of area 6lv,DHBA:10170,DHBA
A6m,#FDD92E,898,DHBA:10171,medial subdivision of area 6 (area MII),DHBA:10168,DHBA
A6m1,#FBE89D,899,DHBA:10816,layer I of area 6m,DHBA:10171,DHBA
A6m2,#FDD92E,900,DHBA:10817,layer II of area 6m,DHBA:10171,DHBA
A6m3,#FFE168,901,DHBA:10818,layer III of area 6m,DHBA:10171,DHBA
A6m5,#FFE168,902,DHBA:10819,layer V of area 6m,DHBA:10171,DHBA
A6m6,#FDD92E,903,DHBA:10820,layer VI of area 6m,DHBA:10171,DHBA
A6/32,#FDD92E,904,DHBA:266441217,area 6/32,DHBA:10162,DHBA
A6/32-1,#FBE89D,905,DHBA:266441221,layer I of area 6/32,DHBA:266441217,DHBA
A6/32-2,#FDD92E,906,DHBA:266441225,layer II of area 6/32,DHBA:266441217,DHBA
A6/32-3,#FFE168,907,DHBA:266441229,layer III of area 6/32,DHBA:266441217,DHBA
A6/32-4,#FFE168,908,DHBA:266441233,layer IV of area 6/32,DHBA:266441217,DHBA
A6/32-5,#FDD92E,909,DHBA:266441237,layer V of area 6/32,DHBA:266441217,DHBA
A6/32-6,#FDD92E,910,DHBA:266441241,layer VI of area 6/32,DHBA:266441217,DHBA
M1C-S1C,#EEAF80,911,DHBA:10291,primary motor-sensory cortex (samples),DHBA:10160,DHBA
PCx,#F0DABE,912,DHBA:10208,parietal neocortex,DHBA:10160,DHBA
S1C,#EC813B,913,DHBA:10209,"primary somatosensory cortex (area S1, areas 3,1,2)",DHBA:10208,DHBA
S1hf,#EC813B,914,DHBA:10210,head and face region of S1,DHBA:10209,DHBA
S1hf1,#EFCEB6,915,DHBA:10913,layer I of area S1hf,DHBA:10210,DHBA
S1hf2,#EC813B,916,DHBA:10914,layer II of area S1hf,DHBA:10210,DHBA
S1hf3,#ED8F56,917,DHBA:10915,layer III of area S1hf,DHBA:10210,DHBA
S1hf4,#EC813B,918,DHBA:10916,layer IV of area S1hf,DHBA:10210,DHBA
S1hf5,#ED8F56,919,DHBA:10917,layer V of area S1hf,DHBA:10210,DHBA
S1hf6,#EC813B,920,DHBA:10918,layer VI of area S1hf,DHBA:10210,DHBA
S1ul,#EC813B,921,DHBA:10211,upper limb region of S1,DHBA:10209,DHBA
S1ul1,#EFCEB6,922,DHBA:10919,layer I of area S1ul,DHBA:10211,DHBA
S1ul2,#EC813B,923,DHBA:10920,layer II of area S1ul,DHBA:10211,DHBA
S1ul3,#ED8F56,924,DHBA:10921,layer III of area S1ul,DHBA:10211,DHBA
S1ul4,#EC813B,925,DHBA:10922,layer IV of area S1ul,DHBA:10211,DHBA
S1ul5,#ED8F56,926,DHBA:10923,layer V of area S1ul,DHBA:10211,DHBA
S1ul6,#EC813B,927,DHBA:10924,layer VI of area S1ul,DHBA:10211,DHBA
S1tr,#EC813B,928,DHBA:10212,trunk region of S1,DHBA:10209,DHBA
S1tr1,#EFCEB6,929,DHBA:10925,layer I of area S1tr,DHBA:10212,DHBA
S1tr2,#EC813B,930,DHBA:10926,layer II of area S1tr,DHBA:10212,DHBA
S1tr3,#ED8F56,931,DHBA:10927,layer III of area S1tr,DHBA:10212,DHBA
S1tr4,#EC813B,932,DHBA:10928,layer IV of area S1tr,DHBA:10212,DHBA
S1tr5,#ED8F56,933,DHBA:10929,layer V of area S1tr,DHBA:10212,DHBA
S1tr6,#EC813B,934,DHBA:10930,layer VI of area S1tr,DHBA:10212,DHBA
S1lm,#EC813B,935,DHBA:10213,lower limb region of S1,DHBA:10209,DHBA
S1lm1,#EFCEB6,936,DHBA:10931,layer I of area S1lm,DHBA:10213,DHBA
S1lm2,#EC813B,937,DHBA:10932,layer II of area S1lm,DHBA:10213,DHBA
S1lm3,#ED8F56,938,DHBA:10933,layer III of area S1lm,DHBA:10213,DHBA
S1lm4,#EC813B,939,DHBA:10934,layer IV of area S1lm,DHBA:10213,DHBA
S1lm5,#ED8F56,940,DHBA:10935,layer V of area S1lm,DHBA:10213,DHBA
S1lm6,#EC813B,941,DHBA:10936,layer VI of area S1lm,DHBA:10213,DHBA
ScC,#EDC38D,942,DHBA:13010,"subcentral cortex (gustatory cortex, area 43)",DHBA:10208,DHBA
PoPC,#F0D0A6,943,DHBA:10214,posterior parietal cortex,DHBA:10208,DHBA
SPC,#E49C33,944,DHBA:10215,posterodorsal (superior) parietal cortex,DHBA:10214,DHBA
A5,#E49C33,945,DHBA:10216,rostral division of SPC (area 5),DHBA:10215,DHBA
A5ci,#E49C33,946,DHBA:10217,cingulate subdivision of area 5,DHBA:10216,DHBA
A5ci1,#F0DABE,947,DHBA:10979,layer I of area 5ci,DHBA:10217,DHBA
A5ci2,#E49C33,948,DHBA:10980,layer II of area 5ci,DHBA:10217,DHBA
A5ci3,#E7A64F,949,DHBA:10981,layer III of area 5ci,DHBA:10217,DHBA
A5ci4,#E49C33,950,DHBA:10982,layer IV of area 5ci,DHBA:10217,DHBA
A5ci5,#E7A64F,951,DHBA:10983,layer V of area 5ci,DHBA:10217,DHBA
A5ci6,#E49C33,952,DHBA:10984,layer VI of area 5ci,DHBA:10217,DHBA
A5l,#E49C33,953,DHBA:10218,lateral subdivision of area 5,DHBA:10216,DHBA
A5l1,#F0DABE,954,DHBA:10985,layer I of area 5l,DHBA:10218,DHBA
A5l2,#E49C33,955,DHBA:10986,layer II of area 5l,DHBA:10218,DHBA
A5l3,#E7A64F,956,DHBA:10987,layer III of area 5l,DHBA:10218,DHBA
A5l4,#E49C33,957,DHBA:10988,layer IV of area 5l,DHBA:10218,DHBA
A5l5,#E7A64F,958,DHBA:10989,layer V of area 5l,DHBA:10218,DHBA
A5l6,#E49C33,959,DHBA:10990,layer VI of area 5l,DHBA:10218,DHBA
A5m,#E49C33,960,DHBA:10219,medial subdivision of area 5,DHBA:10216,DHBA
A5m1,#F0DABE,961,DHBA:10991,layer I of area 5m,DHBA:10219,DHBA
A5m2,#E49C33,962,DHBA:10992,layer II of area 5m,DHBA:10219,DHBA
A5m3,#E7A64F,963,DHBA:10993,layer III of area 5m,DHBA:10219,DHBA
A5m4,#E49C33,964,DHBA:10994,layer IV of area 5m,DHBA:10219,DHBA
A5m5,#E7A64F,965,DHBA:10995,layer V of area 5m,DHBA:10219,DHBA
A5m6,#E49C33,966,DHBA:10996,layer VI of area 5m,DHBA:10219,DHBA
A7,#E49C33,967,DHBA:10220,caudal division of SPC (area 7),DHBA:10215,DHBA
A7r,#E49C33,968,DHBA:10221,rostral subdivision of area 7,DHBA:10220,DHBA
A7r1,#F0DABE,969,DHBA:10997,layer I of area 7r,DHBA:10221,DHBA
A7r2,#E49C33,970,DHBA:10998,layer II of area 7r,DHBA:10221,DHBA
A7r3,#E7A64F,971,DHBA:10999,layer III of area 7r,DHBA:10221,DHBA
A7r4,#E49C33,972,DHBA:11000,layer IV of area 7r,DHBA:10221,DHBA
A7r5,#E7A64F,973,DHBA:11001,layer V of area 7r,DHBA:10221,DHBA
A7r6,#E49C33,974,DHBA:11002,layer VI of area 7r,DHBA:10221,DHBA
A7m,#E49C33,975,DHBA:10222,medial subdivision of area 7,DHBA:10220,DHBA
A7m1,#F0DABE,976,DHBA:11003,layer I of area 7m,DHBA:10222,DHBA
A7m2,#E49C33,977,DHBA:11004,layer II of area 7m,DHBA:10222,DHBA
A7m3,#E7A64F,978,DHBA:11005,layer III of area 7m,DHBA:10222,DHBA
A7m4,#E49C33,979,DHBA:11006,layer IV of area 7m,DHBA:10222,DHBA
A7m5,#E7A64F,980,DHBA:11007,layer V of area 7m,DHBA:10222,DHBA
A7m6,#E49C33,981,DHBA:11008,layer VI of area 7m,DHBA:10222,DHBA
A7c,#E49C33,982,DHBA:10223,caudal subdivision of area 7,DHBA:10220,DHBA
A7c1,#F0DABE,983,DHBA:11009,layer I of area 7c,DHBA:10223,DHBA
A7c2,#E49C33,984,DHBA:11010,layer II of area 7c,DHBA:10223,DHBA
A7c3,#E7A64F,985,DHBA:11011,layer III of area 7c,DHBA:10223,DHBA
A7c4,#E49C33,986,DHBA:11012,layer IV of area 7c,DHBA:10223,DHBA
A7c5,#E7A64F,987,DHBA:11013,layer V of area 7c,DHBA:10223,DHBA
A7c6,#E49C33,988,DHBA:11014,layer VI of area 7c,DHBA:10223,DHBA
A7pc,#E49C33,989,DHBA:10224,postcentral subdivision of area 7,DHBA:10220,DHBA
A7pc1,#F0DABE,990,DHBA:11015,layer I of area 7pc,DHBA:10224,DHBA
A7pc2,#E49C33,991,DHBA:11016,layer II of area 7pc,DHBA:10224,DHBA
A7pc3,#E7A64F,992,DHBA:11017,layer III of area 7pc,DHBA:10224,DHBA
A7pc4,#E49C33,993,DHBA:11018,layer IV of area 7pc,DHBA:10224,DHBA
A7pc5,#E7A64F,994,DHBA:11019,layer V of area 7pc,DHBA:10224,DHBA
A7pc6,#E49C33,995,DHBA:11020,layer VI of area 7pc,DHBA:10224,DHBA
A7ip,#E49C33,996,DHBA:267498979,intraparietal subdivision of area 7 (A7ip),DHBA:10220,DHBA
A7ipr,#E49C33,997,DHBA:267498983,"area 7ip, rostral part (A7ipr)",DHBA:267498979,DHBA
A7ipr1,#F0DABE,998,DHBA:267498987,layer I of area 7ipr,DHBA:267498983,DHBA
A7ipr2,#E49C33,999,DHBA:267498991,layer II of area 7ipr,DHBA:267498983,DHBA
A7ipr3,#E7A64F,1000,DHBA:267498995,layer III of area 7ipr,DHBA:267498983,DHBA
A7ipr4,#E49C33,1001,DHBA:267498999,layer IV of area 7ipr,DHBA:267498983,DHBA
A7ipr5,#E7A64F,1002,DHBA:267499003,layer V of area 7ipr,DHBA:267498983,DHBA
A7ipr6,#E49C33,1003,DHBA:267499007,layer VI of area 7ipr,DHBA:267498983,DHBA
A7ipc,#E49C33,1004,DHBA:267499011,"area 7ip, caudal part (A7ipc)",DHBA:267498979,DHBA
A7ipc1,#F0DABE,1005,DHBA:267499015,layer I of area 7ipc,DHBA:267499011,DHBA
A7ipc2,#E49C33,1006,DHBA:267499019,layer II of area 7ipc,DHBA:267499011,DHBA
A7ipc3,#E7A64F,1007,DHBA:267499023,layer III of area 7ipc,DHBA:267499011,DHBA
A7ipc4,#E49C33,1008,DHBA:267499027,layer IV of area 7ipc,DHBA:267499011,DHBA
A7ipc5,#E7A64F,1009,DHBA:267499031,layer V of area 7ipc,DHBA:267499011,DHBA
A7ipc6,#E49C33,1010,DHBA:267499035,layer VI of area 7ipc,DHBA:267499011,DHBA
IPC,#D38E32,1011,DHBA:10225,posteroventral (inferior) parietal cortex,DHBA:10214,DHBA
A40,#D38E32,1012,DHBA:10226,rostral division of IPC (area 40),DHBA:10225,DHBA
A40rd,#D38E32,1013,DHBA:10227,rostrodorsal subdivision of area 40,DHBA:10226,DHBA
A40rd1,#F0DABE,1014,DHBA:10937,layer I of area 40rd,DHBA:10227,DHBA
A40rd2,#D38E32,1015,DHBA:10938,layer II of area 40rd,DHBA:10227,DHBA
A40rd3,#E49C33,1016,DHBA:10939,layer III of area 40rd,DHBA:10227,DHBA
A40rd4,#D38E32,1017,DHBA:10940,layer IV of area 40rd,DHBA:10227,DHBA
A40rd5,#E49C33,1018,DHBA:10941,layer V of area 40rd,DHBA:10227,DHBA
A40rd6,#D38E32,1019,DHBA:10942,layer VI of area 40rd,DHBA:10227,DHBA
A40rv,#D38E32,1020,DHBA:10228,rostroventral subdivision of area 40,DHBA:10226,DHBA
A40rv1,#F0DABE,1021,DHBA:10943,layer I of area 40rv,DHBA:10228,DHBA
A40rv2,#D38E32,1022,DHBA:10944,layer II of area 40rv,DHBA:10228,DHBA
A40rv3,#E49C33,1023,DHBA:10945,layer III of area 40rv,DHBA:10228,DHBA
A40rv4,#D38E32,1024,DHBA:10946,layer IV of area 40rv,DHBA:10228,DHBA
A40rv5,#E49C33,1025,DHBA:10947,layer V of area 40rv,DHBA:10228,DHBA
A40rv6,#D38E32,1026,DHBA:10948,layer VI of area 40rv,DHBA:10228,DHBA
A40in,#D38E32,1027,DHBA:10231,inferior subdivision of area 40,DHBA:10226,DHBA
A40in1,#F0DABE,1028,DHBA:10961,layer I of area 40in,DHBA:10231,DHBA
A40in2,#D38E32,1029,DHBA:10962,layer II of area 40in,DHBA:10231,DHBA
A40in3,#E49C33,1030,DHBA:10963,layer III of area 40in,DHBA:10231,DHBA
A40in4,#D38E32,1031,DHBA:10964,layer IV of area 40in,DHBA:10231,DHBA
A40in5,#E49C33,1032,DHBA:10965,layer V of area 40in,DHBA:10231,DHBA
A40in6,#D38E32,1033,DHBA:10966,layer VI of area 40in,DHBA:10231,DHBA
A40/39,#D38E32,1034,DHBA:146034630,intermediate division of IPC (area 40/39),DHBA:10225,DHBA
A40/39r,#D38E32,1035,DHBA:146034634,rostral subdivision of area 40/39,DHBA:146034630,DHBA
A40/39r1,#F0DABE,1036,DHBA:146034638,layer I of area 40/39r,DHBA:146034634,DHBA
A40/39r2,#D38E32,1037,DHBA:146034642,layer II of area 40/39r,DHBA:146034634,DHBA
A40/39r3,#E49C33,1038,DHBA:146034646,layer III of area 40/39r,DHBA:146034634,DHBA
A40/39r4,#D38E32,1039,DHBA:146034650,layer IV of area 40/39r,DHBA:146034634,DHBA
A40/39r5,#E49C33,1040,DHBA:146034654,layer V of area 40/39r,DHBA:146034634,DHBA
A40/39r6,#D38E32,1041,DHBA:146034658,layer VI of area 40/39r,DHBA:146034634,DHBA
A40/39c,#D38E32,1042,DHBA:146034662,caudal subdivision of area 40/39,DHBA:146034630,DHBA
A40/39c1,#F0DABE,1043,DHBA:146034666,layer I of area 40/39c,DHBA:146034662,DHBA
A40/39c2,#D38E32,1044,DHBA:146034670,layer II of area 40/39c,DHBA:146034662,DHBA
A40/39c3,#E49C33,1045,DHBA:146034674,layer III of area 40/39c,DHBA:146034662,DHBA
A40/39c4,#D38E32,1046,DHBA:146034678,layer IV of area 40/39c,DHBA:146034662,DHBA
A40/39c5,#E49C33,1047,DHBA:146034682,layer V of area 40/39c,DHBA:146034662,DHBA
A40/39c6,#D38E32,1048,DHBA:146034686,layer VI of area 40/39c,DHBA:146034662,DHBA
A39,#D38E32,1049,DHBA:10232,caudal division of IPC (area 39),DHBA:10225,DHBA
A39r,#D38E32,1050,DHBA:10233,rostral subdivision of area 39,DHBA:10232,DHBA
A39r1,#F0DABE,1051,DHBA:10967,layer I of area 39r,DHBA:10233,DHBA
A39r2,#D38E32,1052,DHBA:10968,layer II of area 39r,DHBA:10233,DHBA
A39r3,#E49C33,1053,DHBA:10969,layer III of area 39r,DHBA:10233,DHBA
A39r4,#D38E32,1054,DHBA:10970,layer IV of area 39r,DHBA:10233,DHBA
A39r5,#E49C33,1055,DHBA:10971,layer V of area 39r,DHBA:10233,DHBA
A39r6,#D38E32,1056,DHBA:10972,layer VI of area 39r,DHBA:10233,DHBA
A39c,#D38E32,1057,DHBA:10234,caudal subdivision of area 39,DHBA:10232,DHBA
A39c1,#F0DABE,1058,DHBA:10973,layer I of area 39c,DHBA:10234,DHBA
A39c2,#D38E32,1059,DHBA:10974,layer II of area 39c,DHBA:10234,DHBA
A39c3,#E49C33,1060,DHBA:10975,layer III of area 39c,DHBA:10234,DHBA
A39c4,#D38E32,1061,DHBA:10976,layer IV of area 39c,DHBA:10234,DHBA
A39c5,#E49C33,1062,DHBA:10977,layer V of area 39c,DHBA:10234,DHBA
A39c6,#D38E32,1063,DHBA:10978,layer VI of area 39c,DHBA:10234,DHBA
RI,#D38E32,1064,DHBA:13323,retroinsular cortex,DHBA:10225,DHBA
TCx,#EBBFD0,1065,DHBA:10235,temporal neocortex,DHBA:10160,DHBA
DLTC,#D670A0,1066,DHBA:13322,dorsolateral temporal neocortex,DHBA:10235,DHBA
A1C,#D670A0,1067,DHBA:10236,primary auditory cortex (core),DHBA:13322,DHBA
A41,#D670A0,1068,DHBA:10237,"main portion of A1C (area TC, area 41)",DHBA:10236,DHBA
A41-1,#F0D5E1,1069,DHBA:11021,layer I of area 41,DHBA:10237,DHBA
A41-2,#D670A0,1070,DHBA:11022,layer II of area 41,DHBA:10237,DHBA
A41-3,#DA80A8,1071,DHBA:11023,layer III of area 41,DHBA:10237,DHBA
A41-4,#D670A0,1072,DHBA:11024,layer IV of area 41,DHBA:10237,DHBA
A41-5,#DA80A8,1073,DHBA:11025,layer V of area 41,DHBA:10237,DHBA
A41-6,#D670A0,1074,DHBA:11026,layer VI of area 41,DHBA:10237,DHBA
A1Cr,#D670A0,1075,DHBA:10238,rostral portion of A1C,DHBA:10236,DHBA
